tax_abr,remane,diazatroph
Aphanizomenon;s__Aphanizomenon flosaquae,Aphanizomenon,yes
Raphidiopsis;s__Raphidiopsis brookii,Raphidiopsis,yes
Planktothrix;s__Planktothrix agardhii,Planktothrix,no
CACIAM-69d;s__CACIAM-69d sp001913845,CACIAM-69d,
Limnoraphis;s__,Limnoraphis,yes
RDYZ01;s__,RDYZ01,
Cuspidothrix;s__Cuspidothrix issatschenkoi,Cuspidothrix,yes
Cyanobium;s__,Cyanobium,no
RGUW01;s__,Cyanobium,no
NIES-981;s__,Cyanobium,no
Cyanobium_A;s__,Cyanobium,no
Cyanobium;s__Cyanobium sp903907855,Cyanobium,no
Cyanobium;s__Cyanobium sp014191755,Cyanobium,no
Cyanobium;s__Cyanobium sp903882285,Cyanobium,no
UBA5018;s__,Cyanobium,no
Dolichospermum;s__Dolichospermum sp001277295,Dolichospermum,yes
Dolichospermum;s__Dolichospermum sp015207875,Dolichospermum,yes
Dolichospermum;s__Dolichospermum circinale,Dolichospermum,yes
Dolichospermum;s__Dolichospermum sp000312705,Dolichospermum,yes
Dolichospermum;s__Dolichospermum planctonicum,Dolichospermum,yes
Microcystis;s__Microcystis aeruginosa_C,Microcystis,no
Snowella;s__,Snowella,no
Microcystis;s__Microcystis aeruginosa,Microcystis,no
Microcystis;s__,Microcystis,no
Microcystis;s__Microcystis panniformis,Microcystis,no
Microcystis;s__Microcystis sp002282935,Microcystis,no
Snowella;s__Snowella sp003249095,Snowella,no
Nodosilinea;s__,Nodosilinea,yes
Pseudanabaena;s__,Pseudanabaena,yes
Pseudanabaena;s__Pseudanabaena sp014696925,Pseudanabaena,yes
Vulcanococcus;s__,Vulcanococcus,no
